"Time (s)","Sound pressure level (dB)"
3.248327742E1,-4.119602686E1
3.258684121E1,-4.437409889E1
3.269265121E1,-5.267483521E1
3.279481179E1,-4.603234621E1
3.289683417E1,-3.849001831E1
3.300361254E1,-4.874960783E1
3.310970262E1,-5.333453830E1
3.321182821E1,-6.377178121E1
3.331850196E1,-5.959686285E1
3.342294112E1,-5.795552261E1
3.352882004E1,-5.997737310E1
3.363214104E1,-6.202285891E1
3.373881096E1,-6.109752829E1
3.384369442E1,-3.959057685E1
3.394838437E1,-3.170905695E1
3.405510154E1,-3.855766252E1
3.416061737E1,-3.999926343E1
3.426738058E1,-4.929958867E1
3.437148062E1,-4.461269279E1
3.447749158E1,-3.252416668E1
3.457968308E1,-3.717170710E1
3.468642942E1,-4.223746267E1
3.479316946E1,-4.808188063E1
3.489652567E1,-5.633222550E1
3.500323921E1,-3.891649308E1
3.510985129E1,-6.157588684E1
3.521346592E1,-6.391291494E1
3.531734042E1,NaN
3.542321396E1,-5.375861824E1
3.552833271E1,-5.663233236E1
3.563039754E1,-6.600926582E1
3.573709537E1,-4.626222111E1
3.583921208E1,-4.223710248E1
3.594529862E1,-4.646930705E1
3.604841917E1,-5.298165523E1
3.615507283E1,-3.550402709E1
3.626142433E1,-3.745893942E1
3.636433354E1,-5.000131637E1
3.647106433E1,-4.443132595E1
3.657612592E1,-4.126712138E1
3.668126371E1,-4.025538010E1
3.678801833E1,-4.137649494E1
3.689476425E1,-4.344564268E1
3.699822621E1,-5.176171180E1
3.710489517E1,-4.608227833E1
3.720988667E1,-4.109899271E1
3.731317704E1,-5.518759284E1
3.741781117E1,-3.848748526E1
3.752364000E1,-5.445091765E1
3.762990512E1,-5.614828123E1
3.773665837E1,-3.996352075E1
3.783923817E1,-4.347731471E1
3.794417083E1,-5.063528652E1
3.804818054E1,-3.038381781E1
3.815488079E1,-2.947227201E1
3.826146425E1,-3.759977445E1
3.836614921E1,-4.412667862E1
3.847157833E1,-4.072787914E1
3.857649562E1,-5.244280119E1
3.868297050E1,-5.986279524E1
3.878961796E1,-3.901452024E1
3.889346596E1,-4.677443472E1
3.900000125E1,-4.739079963E1
3.910666104E1,-4.768579295E1
3.920988217E1,-3.327742355E1
3.931491887E1,-3.193187983E1
3.941709533E1,-4.987219030E1
3.952371529E1,-6.112340448E1
3.962669042E1,-3.672447757E1
3.973206221E1,-3.525171153E1
3.983412779E1,-4.782774641E1
3.993932129E1,-5.228322768E1
4.004416037E1,-5.646139936E1
4.014902967E1,-6.897646350E1
4.025119629E1,-6.766656990E1
4.035787696E1,-5.777653441E1
4.046138583E1,-5.588767363E1
4.056601192E1,-5.750586110E1
4.067152129E1,-6.606512677E1
4.077652712E1,-4.352739446E1
4.088297117E1,-4.202182946E1
4.098495942E1,-4.410082821E1
4.109104675E1,-4.650434021E1
4.119766075E1,-4.554309211E1
